GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lacanastamaven-1.0-SNAPSHOT,conexion,conexion,18,19,1,3,6,8,2,4,1,3
lacanastamaven-1.0-SNAPSHOT,entidad,EntEmpleados,32,56,0,0,1,24,1,12,1,12
lacanastamaven-1.0-SNAPSHOT,entidad,EntPedido,122,101,0,0,17,44,2,29,2,29
lacanastamaven-1.0-SNAPSHOT,entidad,EntSolicitud,93,80,0,0,14,35,2,23,2,23
lacanastamaven-1.0-SNAPSHOT,entidad,EntInsumos,37,66,0,0,1,28,1,14,1,14
lacanastamaven-1.0-SNAPSHOT,entidad,EntCarta,27,46,0,0,1,20,1,10,1,10
lacanastamaven-1.0-SNAPSHOT,entidad,EntProveedor,0,73,0,0,0,21,0,11,0,11
lacanastamaven-1.0-SNAPSHOT,entidad,EntMesas,22,36,0,0,1,16,1,8,1,8
lacanastamaven-1.0-SNAPSHOT,entidad,EntSolicitudDetalle,42,76,0,0,1,32,1,16,1,16
lacanastamaven-1.0-SNAPSHOT,entidad,EntPedidoDetalle,42,76,0,0,1,32,1,16,1,16
lacanastamaven-1.0-SNAPSHOT,entidad,EntUsuario,0,118,0,0,0,33,0,17,0,17
lacanastamaven-1.0-SNAPSHOT,negocio,NegProveedor,24,109,0,0,12,20,0,5,0,5
lacanastamaven-1.0-SNAPSHOT,negocio,NegEmpleados,24,119,0,0,12,20,0,5,0,5
lacanastamaven-1.0-SNAPSHOT,negocio,NegPedido,81,328,3,1,37,62,2,12,0,12
lacanastamaven-1.0-SNAPSHOT,negocio,NegMesas,31,127,0,0,15,25,0,6,0,6
lacanastamaven-1.0-SNAPSHOT,negocio,NegSolicitud,54,214,2,0,24,38,1,8,0,8
lacanastamaven-1.0-SNAPSHOT,negocio,NegInsumos,29,140,0,0,15,24,0,6,0,6
lacanastamaven-1.0-SNAPSHOT,negocio,NegCarta,24,109,0,0,12,20,0,5,0,5
lacanastamaven-1.0-SNAPSHOT,negocio,NegPedidoDetalle,31,155,0,0,14,26,0,6,0,6
lacanastamaven-1.0-SNAPSHOT,negocio,NegUsuario,24,152,0,0,11,22,0,5,0,5
lacanastamaven-1.0-SNAPSHOT,negocio,NegSolicitudDetalle,31,158,0,0,14,27,0,6,0,6
lacanastamaven-1.0-SNAPSHOT,com.pruebas.lacanastamaven,JakartaRestConfiguration,3,0,0,0,1,0,1,0,1,0
lacanastamaven-1.0-SNAPSHOT,com.pruebas.lacanastamaven.resources,JakartaEE8Resource,7,0,0,0,4,0,2,0,2,0
